material name     |     G vrh     |     K vrh     |     Vicker's Hardness
Al1Se2.5Cs2    13.707120367613362GPa   35.41490460625109GPa   0.046652445955714494GPa
As1Se4.5Pu3    33.93967980672831GPa   65.66759996191463GPa   4.2630869346327485GPa
As2.5Yb1.5Bi1    28.257220157361314GPa   68.61423597607222GPa   2.002159128840969GPa
As2Te1Ac1.33333333    47.77745727200295GPa   85.45243842507041GPa   6.726325509437695GPa
As3.33333333Se1Lu1.33333333    45.18487156824595GPa   83.23090130387162GPa   6.0951491012199845GPa
As3.33333333Se1Sm1.33333333    32.873809114286715GPa   66.58325888995098GPa   3.7571675973399206GPa
As3.5Se1Nd1.5    32.93918729529798GPa   68.16297940150804GPa   3.597270301464487GPa
As4.5Se1Pr2.5    37.10353562147492GPa   81.53383923550409GPa   3.5930824269308728GPa
B1.33333333F1Sb1    79.3460976974165GPa   131.27068484872942GPa   11.336432921924903GPa
B1F6Ca1.5    81.73278463297669GPa   85.40378410950441GPa   21.972226822429587GPa
B1N1.66666667O4    94.54184522859569GPa   134.8761451196489GPa   15.889746368459068GPa
B1O2.5S1    62.08622356121666GPa   100.24909986381743GPa   9.77828251928341GPa
B1O4.5Ru2    85.9398560639871GPa   142.13571319397965GPa   12.027225309254376GPa
B1O5.5Re2    92.27845787838243GPa   159.56259711318677GPa   11.871394301386422GPa
B2O1.5P1    119.01214993452935GPa   184.88021795769626GPa   16.56279520080769GPa
B2O1.5Sb1    91.97949803828716GPa   123.44995841288384GPa   16.964725955195096GPa
B2O5.5Br1    68.47343156172138GPa   69.07069701050105GPa   20.46375298874022GPa
B2O6.5Cl1    73.45974470094508GPa   69.38636583873866GPa   23.403163968130514GPa
B3C1O2.5    182.86085684621477GPa   147.82795548211186GPa   51.005342565735475GPa
B3O2.5Si1    124.32628689772292GPa   134.45287126860262GPa   27.659212909803735GPa
B3O2.5Sn1    97.76138081034625GPa   164.77412075263558GPa   12.849425370059892GPa
Be1.5N3S1    123.34801329973325GPa   181.8918151276219GPa   18.231737740994657GPa
Be1.5N3Se1    97.1158289794307GPa   157.42387101032975GPa   13.525377777287641GPa
Be1.5Si1Cl1    64.33241145550932GPa   80.54011559049198GPa   14.570738613340957GPa
Be1F3.5Cl1.5    72.31896086316854GPa   87.22938459515612GPa   16.653598546411292GPa
Be1O5.5Eu3    54.15832292608025GPa   99.63842645579817GPa   7.126351731267073GPa
Be2.66666667F1.33333333Ge1    74.93010997956027GPa   119.7578894321998GPa   11.435641524064158GPa
Be2.66666667F1.33333333Sn1    73.43787723883025GPa   128.44952369375238GPa   9.838159717249743GPa
Be2O3.5Rh1    104.05095019411164GPa   179.73355949455302GPa   12.972786227053135GPa
Be3.5F1Sb2    62.58638028061406GPa   88.90358823055405GPa   11.914769167676958GPa
Be3.5F3Si1    116.57688788084437GPa   183.411586681856GPa   16.04256907815296GPa
Be3.5O6As1    84.46645226382759GPa   155.3057677498576GPa   10.142300288782032GPa
Be3.5O6Br1    78.62559764511803GPa   159.23361451584626GPa   8.255481622651685GPa
Be3.5O6I1    81.4964958894674GPa   158.53876473785738GPa   9.048148947999177GPa
Be3N1O5.5    104.30772954732426GPa   178.86266567772032GPa   13.133455362095802GPa
Be3O4.5Au1    87.293224472299GPa   181.32569836810512GPa   8.615913957683283GPa
Be3O4.5Tl1    79.53998745104576GPa   162.65696219893553GPa   8.203883161301997GPa
Be3O5.5Cl1    80.36426344189277GPa   171.2906763425822GPa   7.738584734131363GPa
Br1.33333333Sn1.33333333Hf1    25.4221381821009GPa   62.873847392706395GPa   1.6022186120482615GPa
C1F1.33333333Os1.33333333    176.39221598939017GPa   206.04695633054666GPa   31.37644106653739GPa
C1F1.33333333Pd1.33333333    149.9850899252421GPa   160.94327101450293GPa   31.52925324450377GPa
C1F1.33333333Pt1.33333333    144.0376851112665GPa   170.19737478676927GPa   27.125951072709242GPa
C1F1.33333333Ru1.33333333    162.30407488596873GPa   190.33836083032153GPa   29.592099229082393GPa
C1F1.33333333W1.33333333    190.95603242030992GPa   233.39988356416308GPa   31.149970986408285GPa
C1F1S1.5    76.89267681042824GPa   111.7168744498694GPa   13.385479941467597GPa
C1F2.66666667Nb1.33333333    124.53559267507198GPa   126.52012386607691GPa   30.017435047170224GPa
C1F2.66666667Ta1.33333333    186.44043857164266GPa   149.01059420428498GPa   52.35588998909823GPa
C1F2.66666667V1.33333333    78.68102836869888GPa   121.60020757702914GPa   12.449297773584458GPa
C1F2Hf1.5    189.49848949163356GPa   150.53245657135537GPa   53.286055809944GPa
C1F2Pb1.5    47.0552982892404GPa   97.67224314997488GPa   5.098893868765389GPa
C1F2Re1.5    202.80512417428145GPa   178.48552424817237GPa   48.94909642246855GPa
C1F2Si1.5    82.61646701631155GPa   117.45801532139292GPa   14.52746876234707GPa
C1F2Th1.5    113.9578119464235GPa   125.29863216178853GPa   25.577135134610504GPa
C1F2Ti1.5    100.29777840330125GPa   128.61742332971656GPa   19.15212937641797GPa
C1F3.5Pa1.5    90.98273756497981GPa   115.89626819669064GPa   18.08831023048131GPa
C1F3Ba3.5    51.18097636315627GPa   71.26764963605436GPa   10.571610263232941GPa
C1F3Cu3.5    80.91226102332098GPa   134.44220098342754GPa   11.428078267011685GPa
C1F3Mg3.5    79.80328762468292GPa   108.16794138067982GPa   15.162730954520732GPa
C1F3Sr3.5    49.54171475010669GPa   72.932909902731GPa   9.47623704004199GPa
C1F8.5Eu1.5    70.54380129373858GPa   83.68838311124286GPa   16.749542263727523GPa
C1O1.5Cd3.5    43.86365851047437GPa   82.38115389190818GPa   5.73786643363535GPa
C1O1.5Cr1.75    176.18858309717118GPa   171.0688458870484GPa   39.64920959860556GPa
C1O1.5Pb1.75    44.81655013751513GPa   74.76381854788447GPa   7.164485527971552GPa
C1O2.5Al3    123.93185670966822GPa   191.50430251887443GPa   17.156596267293793GPa
C1O2.5Eu3    50.94340291988479GPa   67.52883737740014GPa   11.337284451740473GPa
C1O2.5Ga3    78.12178729584588GPa   131.54992724301667GPa   10.91583077659794GPa
C1O2.5Mo1.5    166.34300093488494GPa   144.58242221415802GPa   43.94159249569426GPa
C1O2.5Ni3    82.99992520802525GPa   120.0350309601276GPa   14.227449703974354GPa
C1O2.5Pm3    46.94214566300678GPa   80.55988742918325GPa   7.10331501765606GPa
C1O2.5Sr4.5    44.893884281641725GPa   74.9647717029927GPa   7.163318852707908GPa
C1O2.5Zn4.5    67.48780104346677GPa   121.00709370141412GPa   8.869479824728254GPa
C1O3Re2.5    186.39207225223956GPa   171.2729740382261GPa   44.01259298939917GPa
C1O3W2.5    190.8988806190289GPa   180.64567254547637GPa   43.06294309625037GPa
C2.5O6V1    85.84125106895425GPa   113.6316988880255GPa   16.48642312380458GPa
C3O4.5As1    89.18224061890442GPa   110.36212348164591GPa   18.56100970872621GPa
C3O4.5P1    90.65674187416366GPa   116.04090563693258GPa   17.925323699884082GPa
Ca1.5As2Bi1    29.671438753721894GPa   63.52713764779754GPa   2.9637836743381447GPa
Ca1.5Se5I1    28.17429798508699GPa   53.247291864978976GPa   3.695054068223479GPa
Ca1Se1.5Te2.5    28.060240266090656GPa   53.38871851868299GPa   3.626961779770979GPa
Ca2.5Se4.5Ir1    34.62182598469718GPa   73.15234625180385GPa   3.6289100717090026GPa
Ca2Se4.5Br1    31.8832264256406GPa   59.969362425885556GPa   4.2377625821696085GPa
Ca2Te5.5I1    19.906530983974495GPa   50.98834354403283GPa   0.8284791748719704GPa
Cl1.5Br2.5Cs1    24.381756387695717GPa   46.818763986361446GPa   3.0386201848596945GPa
Cl1.5Br2.5Rb1    29.164703341659443GPa   49.30059552662948GPa   4.784271693124219GPa
Cl1.5I1.5Tl1    20.800324655161912GPa   53.066682717116585GPa   0.9464024776884732GPa
Cl1.5K1Br2.5    28.128727444555743GPa   50.60465504643302GPa   4.085745445013851GPa
Cl1.5Sb1.5W1    35.35958121784412GPa   132.08328612576253GPa   0.4456247334847836GPa
Cl1.5Sb1Bi1.5    21.957454302849534GPa   52.42393975981116GPa   1.4020673870795166GPa
Cl1Br6Sr1.5    27.726948402393596GPa   60.557009173883195GPa   2.6000353320341265GPa
Cl1Ca1.5I6    27.522891716242388GPa   49.28629258417124GPa   4.034018027828901GPa
Cl1Ca2.5Se6    36.984154871846755GPa   60.98997189361906GPa   6.207573209722108GPa
Cl1Ca2Te4.5    26.122238600175432GPa   42.72197865670548GPa   4.586145077296469GPa
Cl1Se3.5Cs2    12.193795450340817GPa   24.45121931346044GPa   0.8272970019133608GPa
Cl1Se3.5Rb2    12.379139524081635GPa   25.810929488799886GPa   0.6888541571077678GPa
Cl1Se4.5Pu2    27.996411785935802GPa   57.96903062891653GPa   2.9945321706780472GPa
Cl1Se5.5Nd2    30.822686722844004GPa   57.3963886284313GPa   4.179641603563936GPa
Cl1Se5.5Sm2    32.650683979842896GPa   57.73126648517128GPa   4.889690806839329GPa
Cl1Se6.5Dy2    30.053888646193773GPa   57.587849312571244GPa   3.841614048785698GPa
Cl1Se6.5Tb2    30.18829753833964GPa   57.43395018584641GPa   3.917026076170444GPa
Cl1Se6Ba2.5    34.30321508626476GPa   63.19588361848995GPa   4.7399246189799165GPa
Cl1Se6Sr2.5    34.60512317981507GPa   63.710009546817645GPa   4.785713576038354GPa
Cl1Sr2Te4.5    18.94787996268728GPa   37.200614273533255GPa   2.076977772061813GPa
Cl1Te6.5Dy2    33.76136682225016GPa   47.067161672700706GPa   7.6249540558774065GPa
Cl1Te6.5Er2    33.40093299554785GPa   46.187980039337816GPa   7.659269465579559GPa
Cl1Te6.5Eu2    24.96464538424425GPa   36.82254823985086GPa   5.336483262690836GPa
Cl1Te6.5Nd2    24.197092030525678GPa   41.06463063194986GPa   3.946673749173014GPa
Cl1Te6.5Pr2    24.13412521592104GPa   40.85504237161992GPa   3.95650270032938GPa
Cl1Zr1.5Sn1.75    41.027167554045306GPa   62.72827135796712GPa   7.689033932986419GPa
Cl2.5Cr1As1.5    33.29283101341773GPa   75.50969601899934GPa   2.963377959597418GPa
Cl2Ge2.5W1    35.75407636126071GPa   122.8054330931239GPa   0.8258839236114346GPa
Cl2Sn1Np1.5    27.706816147026153GPa   56.722529486567986GPa   3.0377549000646633GPa
Cl2Sn1U1.5    32.10966055862776GPa   59.705247826637994GPa   4.36615822701337GPa
Cl3.5V1Hg1.5    26.303712579570885GPa   63.09522058997975GPa   1.8659098355553523GPa
Cl3Ga1Sn4.5    23.807536943049968GPa   54.155572923653935GPa   1.8842894630429639GPa
Cl3Ge1.5Er1    33.6287117437883GPa   64.83183991727918GPa   4.254610236616028GPa
Cl3Ge1.5Lu1    31.95702414851827GPa   66.03278582346003GPa   3.4926972280020765GPa
Cl3Ge4.5Sm1    38.948121940961066GPa   67.43113126699781GPa   5.96534731352156GPa
Cl3Nb1Sn3.5    28.443882729191408GPa   51.0281813994803GPa   4.1555442691093765GPa
Cl3Sn1.5Lu1    28.96658757445639GPa   55.133422477916945GPa   3.748454522083179GPa
Cl4.5K1.5I1    31.327928629321246GPa   57.80278773303183GPa   4.326727136959978GPa
Cl4.5Sb1Pa1.5    29.364411998032164GPa   57.52978398806081GPa   3.576304030086294GPa
Cl4.66666667Br1Tl1.66666667    35.107095023444636GPa   54.34688800597756GPa   6.617089539518894GPa
Cl6Se1.5Yb1    36.924234596948146GPa   59.95441492088831GPa   6.367224157317825GPa
Cl6Ti1.5Lu1    55.86049082968056GPa   73.25018069699736GPa   12.324017805125301GPa
Cl7Fe1.5U1    55.888609073541396GPa   63.260063788780606GPa   15.207936391394032GPa
Cl7Sr1.5Pt1    52.77131395732519GPa   55.7170697854436GPa   16.099942064941686GPa
Cl8.5Er1.5Pt1    58.785639581856GPa   61.34578771614488GPa   17.624948878855857GPa
Cl8.5Pm1.5Ir1    56.41588407847433GPa   61.6953056033058GPa   16.06094680790804GPa
Cl8.5Se1Er1.5    38.897288931709056GPa   65.16983045379916GPa   6.309018925105576GPa
Cl8.5Tb1.5Ir1    59.008355480460814GPa   64.69894016821999GPa   16.508933268078362GPa
Co1Se5.5Er3    33.73909463508527GPa   78.55995268948648GPa   2.8279891696807757GPa
Co1Se5.5Ho3    32.40233324983868GPa   76.7790173545602GPa   2.5764471635743726GPa
