material name     |     G vrh     |     K vrh     |     Vicker's Hardness
Al1Se2.5Cs2    20.05126589684194GPa   50.33754021379342GPa   0.9361824449966285GPa
As1Se4.5Pu3    34.17079227593749GPa   62.48869237113529GPa   4.789452341693078GPa
As2.5Yb1.5Bi1    40.099889897935626GPa   64.70602550942462GPa   6.902411029561165GPa
As2Te1Ac1.33333333    47.3983143551267GPa   72.84255033678134GPa   8.561209280005418GPa
As3.33333333Se1Lu1.33333333    47.012243162846616GPa   122.49888477429458GPa   3.203626704970448GPa
As3.33333333Se1Sm1.33333333    42.81607933346698GPa   103.83106754175795GPa   3.388474055760075GPa
As3.5Se1Nd1.5    42.098354358274335GPa   97.69867808129551GPa   3.6595596897690763GPa
As4.5Se1Pr2.5    42.80499901706757GPa   96.78802862700273GPa   3.9325259562638575GPa
B1.33333333F1Sb1    85.22303665718312GPa   144.86549477755233GPa   11.481999994063234GPa
B1F6Ca1.5    79.55233486864887GPa   104.29482156665401GPa   15.849875103860345GPa
B1N1.66666667O4    88.52561834673608GPa   153.149189782583GPa   11.506138946701695GPa
B1O2.5S1    80.75861143172914GPa   98.07617254674659GPa   17.797786213650568GPa
B1O4.5Ru2    89.31430388512612GPa   144.73495043054655GPa   12.740752275754156GPa
B1O5.5Re2    88.00969476531887GPa   156.07574954544964GPa   11.04360471325403GPa
B2O1.5P1    76.76796130687897GPa   129.73596672536908GPa   10.716403411993591GPa
B2O1.5Sb1    87.28248322967323GPa   132.63548332605419GPa   13.743458404995959GPa
B2O5.5Br1    78.12815121400041GPa   113.8046718814077GPa   13.489213266905502GPa
B2O6.5Cl1    77.32862929558058GPa   118.96809522101731GPa   12.374944216089066GPa
B3C1O2.5    107.50761292682164GPa   163.6274732167796GPa   15.879654526276376GPa
B3O2.5Si1    83.76532879252896GPa   136.47266576312185GPa   12.066223241206128GPa
B3O2.5Sn1    86.96764497476475GPa   138.57853620992958GPa   12.80587314200863GPa
Be1.5N3S1    75.98518360061937GPa   154.04492762596345GPa   8.019497339923461GPa
Be1.5N3Se1    82.19479091181017GPa   145.48433217964714GPa   10.523426668694055GPa
Be1.5Si1Cl1    62.650954971093235GPa   92.08178479479697GPa   11.340187783057756GPa
Be1F3.5Cl1.5    70.67219951357448GPa   109.51407688789666GPa   11.463768594530503GPa
Be1O5.5Eu3    58.605137095953395GPa   116.61700783298438GPa   6.67488271519294GPa
Be2.66666667F1.33333333Ge1    77.45455959339995GPa   140.84865998992802GPa   9.655134909618916GPa
Be2.66666667F1.33333333Sn1    79.54254885774024GPa   127.66059121405105GPa   11.876323296256091GPa
Be2O3.5Rh1    81.92385139175009GPa   161.3702068920172GPa   8.910002512362425GPa
Be3.5F1Sb2    68.56238438464015GPa   114.18005692283988GPa   10.061112604383151GPa
Be3.5F3Si1    72.26389453219282GPa   131.96716119113955GPa   9.091826728126287GPa
Be3.5O6As1    68.12777316466735GPa   130.62376270914874GPa   8.034889628305297GPa
Be3.5O6Br1    76.06230972641751GPa   131.33170179861355GPa   10.30424044284391GPa
Be3.5O6I1    77.32735857571461GPa   129.03627895509877GPa   10.980473366697803GPa
Be3N1O5.5    83.19307894619028GPa   157.1800012075522GPa   9.618223073644794GPa
Be3O4.5Au1    70.062259256354GPa   142.70750792987135GPa   7.450856276856742GPa
Be3O4.5Tl1    73.3420973026107GPa   124.14632011504835GPa   10.329764459173218GPa
Be3O5.5Cl1    71.1107108636023GPa   145.40775759921678GPa   7.494179558716265GPa
Br1.33333333Sn1.33333333Hf1    35.38655535599328GPa   96.72518784972115GPa   1.9677517175367774GPa
C1F1.33333333Os1.33333333    141.28843605148867GPa   232.9479722872388GPa   17.173170388259326GPa
C1F1.33333333Pd1.33333333    86.0617638642269GPa   210.1442014714312GPa   6.534031906832718GPa
C1F1.33333333Pt1.33333333    97.15417510972405GPa   216.25883917735115GPa   8.405266781440735GPa
C1F1.33333333Ru1.33333333    124.63653537246158GPa   209.47557771691197GPa   15.32996105670545GPa
C1F1.33333333W1.33333333    168.07642377673696GPa   243.72729854592333GPa   22.94875604624898GPa
C1F1S1.5    76.3222067833675GPa   136.0772929938149GPa   9.839648513617018GPa
C1F2.66666667Nb1.33333333    90.15666489970738GPa   184.00883654770513GPa   9.08342208683713GPa
C1F2.66666667Ta1.33333333    112.7534541669051GPa   195.5020483001677GPa   13.667515077095072GPa
C1F2.66666667V1.33333333    86.5004545578441GPa   163.0263949587922GPa   9.946593057576633GPa
C1F2Hf1.5    111.75226420143039GPa   200.22984536431005GPa   12.956261558102108GPa
C1F2Pb1.5    66.45010332626346GPa   140.00185099533067GPa   6.739425955028416GPa
C1F2Re1.5    129.3958695617449GPa   205.0442049632262GPa   17.071912115447898GPa
C1F2Si1.5    77.09483603529698GPa   154.63720838426775GPa   8.252836195367804GPa
C1F2Th1.5    79.39089227699041GPa   158.72593152603685GPa   8.491309437514998GPa
C1F2Ti1.5    85.69020182965274GPa   163.15053438068182GPa   9.723179252063206GPa
