H	0.754
He	-0.52
Li	0.618
Be	-0.52
B	0.279
C	1.262
N	-0.000
O	1.461
F	3.401
Ne	-1.2
Na	0.547
Mg	-0.415
Al	0.432
Si	1.389
P	0.746
S	2.077
Cl	3.612
Ar	-1.0
K	0.501
Ca	0.024
Sc	0.188
Ti	0.084
V	0.527
Cr	0.675
Mn	-0.52
Fe	0.153
Co	0.662
Ni	1.157
Cu	1.235
Zn	-0.62
Ga	0.43
Ge	1.232
As	0.804
Se	2.020
Br	3.363
Kr	-0.62
Rb	0.485
Sr	0.052
Y	0.307
Zr	0.433
Nb	0.917
Mo	0.747
Tc	0.55
Ru	1.046
Rh	1.142
Pd	0.562
Ag	1.304
Cd	-0.725
In	0.3
Sn	1.112
Sb	1.047
Te	1.970
I	3.059
Xe	-0.83
Cs	0.471
Ba	0.144
La	0.47
Ce	0.65
Pr	0.962
Nd	1.916
Pm	0.129
Sm	0.162
Eu	0.864
Gd	0.137
Tb	1.165
Dy	0.352
Ho	0.338
Er	0.312
Tm	1.029
Yb	-0.02
Lu	0.346
Hf	0.017
Ta	0.323
W	0.816
Re	0.060
Os	1.1
Ir	1.564
Pt	2.125
Au	2.308
Hg	-0.52
Tl	0.377
Pb	0.356
Bi	0.942
Po	1.9
At	2.3
Rn	-0.725
Fr	0.486
Ra	0.10
Ac	0.35
Th	1.17
Pa	0.55
U	0.53
Np	0.48
Pu	-0.50
Am	0.10
Cm	0.28
Bk	-1.72
Cf	-1.01
Es	-0.30
Fm	0.35
Md	0.98
No	-2.33
Lr	-0.31
Rg	1.565
Nh	0.69
Mc	0.366
Lv	0.776
Ts	1.719
Og	0.056
Uue	0.662
Ubn	0.021
Ubu	0.57
